20
25
TIME,MNPO,MCPO,MNPT,MCPT,MNRT,MCRT,MNREV,MCREV,MNRO,MCRO,MNB,MCB,MNNP,MCNP,X10000,X30000,X01000,X01010,X02000,X02010
0,4.1895,0.57911,8.3496,1.4117,12.373,4.4705,31.869,161.14,3.7609,1.0955,35.184,8.5604,0.52037,0.25596,0.4229,0.91436,41.166,0.015608,46.572,0.0031953
4,10.055,1.7787,20.783,4.4401,12.91,4.5591,33.457,220.76,6.199,1.9606,21.044,4.9348,0.31156,0.1857,1.5206,3.4718,41.645,0.012334,45.919,0.0036483
8,11.621,2.4642,24.81,6.6188,13.489,4.76,7.4713,69.286,8.921,2.9608,25.713,4.8415,0.3301,0.14783,2.9968,6.9657,53.071,0.037908,46.248,0.019798
12,7.1884,1.8868,16.052,5.5531,13.525,4.8697,0.038254,1.871,8.8239,3.6507,39.086,7.2473,0.48015,0.17825,3.2155,1.3655,68.428,0.78688,46.323,0.38136
16,2.9137,0.87889,6.7312,2.862,13.142,4.8046,0.0030451,0.02454,4.7351,2.7649,46.039,9.1582,0.5786,0.2289,1.7283,0.1557,73.702,2.8846,47.222,1.1065
20,1.2117,0.35644,2.7827,1.2115,12.708,4.6645,0.12475,0.29049,2.1075,1.4978,47.48,9.7353,0.6069,0.25789,0.53341,0.047476,63.001,0.38414,47.784,0.12014
24,3.9708,0.5694,7.9538,1.4262,12.587,4.5549,26.443,130.76,3.8511,1.2125,37.222,8.8006,0.51611,0.25661,0.43782,0.92334,47.603,0.017603,47.373,0.0039114
28,9.5906,1.69,19.811,4.2225,13.069,4.6262,31.461,204.23,6.287,2.0183,22.4,5.2811,0.32774,0.19079,1.4427,3.2905,45.862,0.013092,46.734,0.003811
32,11.312,2.3837,24.122,6.3887,13.62,4.8127,7.7714,70.084,8.8106,2.9622,26.007,4.9667,0.33599,0.15246,2.8449,6.5949,55.563,0.037511,46.949,0.018579
36,7.1781,1.8668,15.995,5.4714,13.66,4.9183,0.05005,2.2234,8.7353,3.6082,38.77,7.2075,0.47747,0.17922,3.0978,1.4535,69.401,0.70572,46.973,0.33445
40,2.9367,0.88261,6.7779,2.8638,13.278,4.8537,0.0034446,0.028315,4.7457,2.7517,45.923,9.1214,0.5769,0.2283,1.6979,0.15428,73.844,2.7209,47.747,1.0416
44,1.2341,0.36052,2.8293,1.222,12.841,4.7129,0.17006,0.38194,2.1352,1.502,47.46,9.7268,0.60647,0.25748,0.53424,0.047641,63.036,0.31539,48.279,0.099444
48,4.0775,0.58921,8.1761,1.4747,12.727,4.6042,26.563,132.2,3.9304,1.2397,36.849,8.7384,0.5122,0.25565,0.45408,0.96347,47.854,0.017476,47.867,0.0039453
52,9.6332,1.7043,19.913,4.2659,13.207,4.6763,30.918,201.4,6.3336,2.0414,22.427,5.2663,0.3274,0.18996,1.4648,3.344,46.315,0.013274,47.222,0.0039623
56,11.239,2.3763,23.982,6.3777,13.744,4.8601,7.4158,67.418,8.836,2.9792,26.241,5.0027,0.33849,0.15279,2.8536,6.6071,56.03,0.038797,47.427,0.019354
60,7.0589,1.8425,15.742,5.4096,13.769,4.9603,0.044223,2.0339,8.65,3.5973,38.956,7.2528,0.47993,0.18026,3.0677,1.3131,69.605,0.74666,47.379,0.3549
64,2.8805,0.86646,6.6497,2.815,13.379,4.8917,0.0035246,0.027905,4.6675,2.7203,45.975,9.1397,0.5778,0.22904,1.6611,0.15009,73.709,2.6977,48.179,1.0367
68,1.2235,0.35479,2.7999,1.2016,12.939,4.7489,0.23125,0.49652,2.1098,1.4803,47.466,9.7304,0.60665,0.25778,0.52089,0.046612,62.647,0.25888,48.682,0.081992
72,4.212,0.61043,8.449,1.5217,12.837,4.6419,27.165,136.36,4.0041,1.2554,36.287,8.653,0.50652,0.25462,0.46833,1.0022,47.659,0.017097,48.252,0.0038758
76,9.7334,1.7299,20.135,4.3367,13.322,4.7169,30.443,199.47,6.3872,2.0627,22.346,5.2214,0.32548,0.18845,1.4971,3.421,46.47,0.013397,47.597,0.0041084
80,11.19,2.3768,23.899,6.391,13.848,4.8996,6.9486,64.069,8.8894,3.0028,26.514,5.0374,0.34113,0.15278,2.8802,6.6593,56.379,0.040555,47.805,0.020463
84,6.9159,1.8155,15.444,5.345,13.853,4.9942,0.036682,1.7744,8.56,3.5915,39.237,7.3166,0.48346,0.18152,3.045,1.154,69.812,0.81139,47.686,0.38681
88,2.8102,0.84656,6.4899,2.756,13.456,4.921,0.00357,0.027002,4.5725,2.6848,46.056,9.1681,0.57918,0.23008,1.6202,0.14535,73.582,2.6912,48.535,1.0357
92,1.2098,0.34749,2.7621,1.1761,13.014,4.7763,0.32569,0.67104,2.0778,1.4541,47.476,9.7361,0.60693,0.25823,0.50491,0.045411,62.204,0.20942,49.005,0.066369
96,4.3626,0.63423,8.7548,1.5743,12.926,4.6717,27.862,141.18,4.0821,1.2715,35.659,8.5551,0.5001,0.25344,0.48414,1.0441,47.418,0.016687,48.555,0.0037836
