[2.592010,77.760300]
[4.485400,134.562000]
[2.307470,69.224100]
[3.994090,119.822700]
[4.610380,138.311400]
[10.292300,308.769000]
[0.032975,0.989247]
[0.181031,5.430930]
[0.503882,15.116460]
[0.053044,1.591308]
[0.890744,26.722320]
[0.464589,13.937670]
[0.125099,3.752970]
[0.139620,4.188600]
[0.293521,8.805630]
[0.004566,0.136972]
[0.010807,0.324216]
[0.002353,0.070585]
[0.060527,1.815804]
[0.004549,0.136468]
[0.727215,21.816450]
[0.692686,20.780580]
[0.013020,0.390588]
[0.659924,19.797720]
[0.030418,0.912528]
[0.016239,0.487176]
[0.697166,20.914980]
[0.025503,0.765096]
[0.001205,0.036158]
[1.097410,32.922300]
[0.615445,18.463350]
[0.291009,8.730270]
[0.028086,0.842580]
[0.000887,0.026603]
[0.000627,0.018798]
[0.530559,15.916770]
[0.016426,0.492780]
[0.926310,27.789300]
[0.064309,1.929258]
[0.002691,0.080723]
[0.963702,28.911060]
[0.001525,0.045754]
[0.059461,1.783827]
[0.526501,15.795030]
[0.052745,1.582359]
[0.245584,7.367520]
[0.029143,0.874287]
[0.064460,1.933806]
[0.006258,0.187733]
[0.335063,10.051890]
[0.353700,10.611000]
[0.017491,0.524730]
[0.048190,1.445685]
[0.036949,1.108479]
[0.076696,2.300886]
[0.058892,1.766760]
[0.040343,1.210275]
[0.045554,1.366632]
[0.001880,0.056401]
[0.002517,0.075495]
[0.034883,1.046487]
[0.007003,0.210097]
[0.164876,4.946280]
[0.051730,1.551909]
[0.079540,2.386206]
[0.151019,4.530570]
[3.538705,106.161150]
[0.003459,0.103778]
[0.035667,1.070010]
[0.149165,4.474940]
[0.067794,2.033823]
