[27.958600, 27.958600]
[33.600900, 33.600900]
[17.470200, 17.470200]
[36.306000, 36.306000]
[54.010900, 54.010900]
[148.852000, 148.852000]
[0.485577, 0.485577]
[1.959730, 1.959730]
[3.150380, 3.150380]
[0.302013, 0.302013]
[7.275320, 7.275320]
[3.554900, 3.554900]
[0.885296, 0.885296]
[1.186570, 1.186570]
[1.774700, 1.774700]
[0.043526, 0.043526]
[0.054351, 0.054351]
[0.033727, 0.033727]
[0.510078, 0.510078]
[0.022756, 0.022756]
[10.783200, 10.783200]
[8.837450, 8.837450]
[0.194779, 0.194779]
[5.577530, 5.577530]
[0.406112, 0.406112]
[0.194467, 0.194467]
[5.214090, 5.214090]
[0.217312, 0.217312]
[0.006921, 0.006921]
[14.869400, 14.869400]
[7.690430, 7.690430]
[3.856040, 3.856040]
[0.182973, 0.182973]
[0.005716, 0.005716]
[0.008735, 0.008735]
[6.000630, 6.000630]
[0.188641, 0.188641]
[7.903160, 7.903160]
[0.868125, 0.868125]
[0.030023, 0.030023]
[12.771700, 12.771700]
[0.021471, 0.021471]
[0.578713, 0.578713]
[3.502400, 3.502400]
[0.739640, 0.739640]
[1.717070, 1.717070]
[0.309059, 0.309059]
[0.513042, 0.513042]
[0.057722, 0.057722]
[1.901080, 1.901080]
[2.780700, 2.780700]
[0.171756, 0.171756]
[0.358220, 0.358220]
[0.221538, 0.221538]
[0.522342, 0.522342]
[0.852347, 0.852347]
[0.437135, 0.437135]
[0.397291, 0.397291]
[0.021390, 0.021390]
[0.022793, 0.022793]
[0.243965, 0.243965]
[0.083730, 0.083730]
[2.169450, 2.169450]
[0.548592, 0.548592]
[1.086270, 1.086270]
[1.557200, 1.557200]
[0.000000, 60.000000]
[0.000000, 7.000000]
[0.000000, 7.000000]
[0.000000, 2.500000]
[0.000000, 4.000000]
[5.214090, 5.214090]
[0.217312, 0.217312]
[5.214090, 5.214090]
[0.217312, 0.217312]
[0.000000, 12.000000]
[0.000000, 12.000000]
[0.006921, 0.006921]
[14.869400, 14.869400]
[2.780700, 2.780700]
[0.083730, 0.083730]
[0.083730, 0.083730]
[2.780700, 2.780700]
[0.000000, 4.000000]
[0.000000, 4.000000]
[0.000000, 4.000000]
[0.000000, 4.000000]
[1.959730, 1.959730]
[0.000000, 6.000000]
[3.150380, 3.150380]
[0.000000, 7.000000]
[0.000000, 7.000000]
