[18.18718,36.57006]
[22.427,39.78744]
[11.53735,25.24582]
[22.65081,48.49545]
[23.20238,59.9186]
[106.3235,154.3845]
[0.164875,0.494623]
[1.32543,2.715465]
[2.51941,6.11206]
[0.265218,0.57285]
[4.71372,9.89532]
[2.322945,6.84579]
[0.625495,1.86016]
[0.9007,1.94702]
[1.90978,3.74952]
[0.02425,0.068486]
[0.054036,0.12354]
[0.01774,0.035293]
[0.302634,0.67324]
[0.022745,0.05933]
[6.09167,10.908225]
[5.24306,10.39029]
[0.07739,0.195294]
[3.29962,9.89886]
[0.27042,0.456264]
[0.11501,0.243588]
[3.48583,10.21365]
[0.16955,0.28506]
[0.006026,0.0157]
[6.96788,16.46115]
[3.2279,8.32261]
[2.46495,4.365135]
[0.140431,0.31975]
[0.004434,0.01253]
[0.00658,0.009399]
[2.652795,6.87888]
[0.14047,0.23183]
[4.63155,10.72918]
[0.4342,0.964629]
[0.013454,0.03441]
[4.81851,12.55226]
[0.01462,0.022877]
[0.35011,0.891914]
[2.632505,6.95075]
[0.55089,0.791179]
[1.22792,3.53906]
[0.19786,0.437144]
[0.35165,0.81373]
[0.031289,0.07946]
[1.675315,2.48243]
[1.7685,3.99029]
[0.1342,0.24057]
[0.29348,0.6685]
[0.1867,0.554239]
[0.39409,0.93067]
[0.62985,0.88338]
[0.29357,0.57578]
[0.227772,0.53007]
[0.01474,0.0282]
[0.01657,0.037748]
[0.174415,0.35611]
[0.03826,0.105048]
[1.17313,2.47314]
[0.25927,0.775954]
[0.85848,1.193103]
[1.18929,2.265285]
[0,60]
[0,7]
[0,7]
[0,2.5]
[0,4]
[3.48583,10.21365]
[0.16955,0.28506]
[3.48583,10.21365]
[0.16955,0.28506]
[0,12]
[0,12]
[0.006026,0.0157]
[6.96788,16.46115]
[1.7685,3.99029]
[0.03826,0.105048]
[0.03826,0.105048]
[1.7685,3.99029]
[0,4]
[0,4]
[0,4]
[0,4]
[1.32543,2.715465]
[0,6]
[2.51941,6.11206]
[0,7]
[0,7]
